id,script_id,voice_role,voice_id_env,model_id,output_format,script_text,audio_filename,output_folder,status
VO-001,VID-001,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Your after-hours calls are not neutral. If they hit voicemail, the homeowner does not wait for Monday. They call the next shop that answers. ThermaForge helps HVAC owners route the call, record what happened, and review the dispatch outcome before revenue leaks quietly out of the business.",2026-05-08_vid-001_missed-calls_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-002,VID-002,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,The dispatch room protects the P&L. Not the dashboard. Not the monthly meeting. The handoff from call to booked job to paid invoice is where margin either stays in the company or walks out the side door. That is the leak ThermaForge looks for first.,2026-05-08_vid-002_dispatch-leak_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-003,VID-003,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Onboarding is not done until the first call is recorded. We want the call routed, recorded, reviewed, and tied back to a real dispatch decision. That is how ThermaForge keeps Frontline call coverage connected to HVAC operating reality.",2026-05-08_vid-003_first-call-recorded_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-004,VID-004,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"If every exception runs through the owner, the company has a ceiling. No-heat calls, warranty questions, VIP customers, schedule pressure, and after-hours rules need a system around them. ThermaForge helps build that operating rhythm before the owner becomes the bottleneck.",2026-05-08_vid-004_owner-capacity_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-005,VID-005,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Frontline answers. ThermaForge reviews what happened next. Call coverage only matters if someone studies the recording, the transcript, the alert, and the dispatch outcome. Answered calls are step one. Operating review is where the money gets protected.",2026-05-08_vid-005_frontline-routing_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-006,VID-006,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"A buyer can see operational drag fast. Callback patterns, AR over 60, loose dispatch, and owner-dependent decisions all show up when diligence gets serious. ThermaForge helps HVAC owners clean the operating story before recap or succession pressure arrives.",2026-05-08_vid-006_recap-readiness_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-007,VID-007,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Callbacks are not just a service issue. They hit truck time, technician morale, customer trust, schedule capacity, and gross margin. If you are scaling an HVAC shop, callbacks need to be reviewed like a financial leak, not just a field problem.",2026-05-08_vid-007_callbacks_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-008,VID-008,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Technician utilization starts before the truck rolls. If the call is poorly captured, poorly routed, or poorly booked, the field feels it later. ThermaForge studies the call-to-dispatch handoff because that is where good tech time gets protected.",2026-05-08_vid-008_technician-utilization_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-009,VID-009,explainer,ELEVENLABS_EXPLAINER_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"Emergency rules should not live in one person’s head. No-heat, no-cool, warranty, VIP, and after-hours escalation rules need to be clear before the phone rings. ThermaForge documents the rules so Frontline can route calls cleanly.",2026-05-08_vid-009_emergency-rules_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
VO-010,VID-010,operator_founder,ELEVENLABS_OPERATOR_VOICE_ID,eleven_multilingual_v2,mp3_44100_128,"A weekly operating review beats a quarterly surprise. Calls, booked jobs, callbacks, open escalations, and cash pressure should be reviewed while there is still time to act. ThermaForge brings that rhythm to HVAC owners who are scaling toward the next chapter.",2026-05-08_vid-010_weekly-review_voiceover.mp3,/root/Desktop/ThermaForge-Media-Command-Center/07_Exports_By_Platform/TikTok_Reels_Shorts,queued
