id,platform,objective,audience,headline,primary_text,description,cta_button,creative_brief,landing_page,utm_content_slug
AD-001,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-meta-feed-001
AD-002,Meta Reels,Lead form,HVAC GMs and ops managers,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-meta-reels-002
AD-003,Facebook Lead Form,Website visits,Trade business owners near recap,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-facebook-lead-form-003
AD-004,Instagram Stories,Retargeting,Website visitors 30 days,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-instagram-stories-004
AD-005,LinkedIn Single Image,Video views,Lookalike of engaged owners,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-linkedin-single-image-005
AD-006,LinkedIn Carousel,Quote requests,Local service business owners,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-linkedin-carousel-006
AD-007,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-x-website-clicks-007
AD-008,YouTube Shorts,Lead form,HVAC GMs and ops managers,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-youtube-shorts-008
AD-009,Google Demand Gen,Website visits,Trade business owners near recap,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-google-demand-gen-009
AD-010,Retargeting,Retargeting,Website visitors 30 days,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-retargeting-010
AD-011,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-nextdoor-sponsored-post-011
AD-012,Google Business Profile Update,Quote requests,Local service business owners,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-google-business-profile-update-012
AD-013,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-meta-feed-013
AD-014,Meta Reels,Lead form,HVAC GMs and ops managers,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-meta-reels-014
AD-015,Facebook Lead Form,Website visits,Trade business owners near recap,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-facebook-lead-form-015
AD-016,Instagram Stories,Retargeting,Website visitors 30 days,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-instagram-stories-016
AD-017,LinkedIn Single Image,Video views,Lookalike of engaged owners,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-linkedin-single-image-017
AD-018,LinkedIn Carousel,Quote requests,Local service business owners,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-linkedin-carousel-018
AD-019,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-x-website-clicks-019
AD-020,YouTube Shorts,Lead form,HVAC GMs and ops managers,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-youtube-shorts-020
AD-021,Google Demand Gen,Website visits,Trade business owners near recap,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-google-demand-gen-021
AD-022,Retargeting,Retargeting,Website visitors 30 days,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-retargeting-022
AD-023,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-nextdoor-sponsored-post-023
AD-024,Google Business Profile Update,Quote requests,Local service business owners,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-google-business-profile-update-024
AD-025,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-meta-feed-025
AD-026,Meta Reels,Lead form,HVAC GMs and ops managers,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-meta-reels-026
