id,asset_type,theme,visual_prompt,copy_overlay,recommended_size,production_notes
VIS-001,Static quote card,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-002,Carousel,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-003,Reel/TikTok/Shorts,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-004,Founder POV video,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-005,Google Business Profile image,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-006,LinkedIn document slide,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-007,Story frame,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-008,Retargeting ad visual,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-009,YouTube thumbnail,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-010,Email header graphic,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-011,Static quote card,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-012,Carousel,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-013,Reel/TikTok/Shorts,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-014,Founder POV video,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-015,Google Business Profile image,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-016,LinkedIn document slide,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-017,Story frame,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-018,Retargeting ad visual,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-019,YouTube thumbnail,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-020,Email header graphic,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-021,Static quote card,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-022,Carousel,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-023,Reel/TikTok/Shorts,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-024,Founder POV video,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-025,Google Business Profile image,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-026,LinkedIn document slide,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-027,Story frame,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-028,Retargeting ad visual,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-029,YouTube thumbnail,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-030,Email header graphic,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-031,Static quote card,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-032,Carousel,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-033,Reel/TikTok/Shorts,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-034,Founder POV video,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-035,Google Business Profile image,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-036,LinkedIn document slide,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-037,Story frame,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-038,Retargeting ad visual,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-039,YouTube thumbnail,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-040,Email header graphic,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-041,Static quote card,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-042,Carousel,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-043,Reel/TikTok/Shorts,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-044,Founder POV video,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-045,Google Business Profile image,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-046,LinkedIn document slide,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-047,Story frame,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-048,Retargeting ad visual,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-049,YouTube thumbnail,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-050,Email header graphic,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-051,Static quote card,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-052,Carousel,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-053,Reel/TikTok/Shorts,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-054,Founder POV video,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-055,Google Business Profile image,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-056,LinkedIn document slide,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-057,Story frame,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-058,Retargeting ad visual,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-059,YouTube thumbnail,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-060,Email header graphic,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-061,Static quote card,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-062,Carousel,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-063,Reel/TikTok/Shorts,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
